Query,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232
Nokia,74,66,64.0,66.0,63.0,68.0,76.0,68.0,70.0,70.0,74.0,85.0,79.0,75.0,68.0,66.0,72.0,73.0,77.0,76.0,75.0,71.0,78.0,84.0,77.0,71.0,72.0,72.0,73.0,79.0,76.0,80.0,78.0,80.0,79.0,88.0,82.0,79.0,79.0,80.0,84.0,86.0,92.0,96.0,91.0,93.0,91.0,99.0,88.0,82.0,82.0,77.0,76.0,72.0,80.0,85.0,83.0,81.0,76.0,87.0,82.0,80.0,77.0,72.0,74.0,80.0,89.0,87.0,86.0,87.0,85.0,94.0,88.0,88.0,86.0,81.0,79.0,86.0,90.0,100.0,92.0,93.0,99.0,98.0,85.0,85.0,84.0,75.0,75.0,81.0,85.0,87.0,84.0,83.0,83.0,85.0,75.0,78.0,72.0,69.0,66.0,67.0,70.0,70.0,73.0,62.0,61.0,66.0,62.0,62.0,59.0,59.0,64.0,60.0,62.0,64.0,61.0,57.0,58.0,60.0,55.0,54.0,53.0,51.0,52.0,55.0,52.0,52.0,45.0,44.0,41.0,42.0,39.0,35.0,34.0,31.0,30.0,31.0,28.0,27.0,24.0,22.0,21.0,21.0,20.0,17.0,19.0,16.0,17.0,17.0,16.0,16.0,16.0,15.0,14.0,15.0,17.0,20.0,16.0,13.0,13.0,16.0,17.0,16.0,16.0,15.0,14.0,14.0,12.0,13.0,12.0,12.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,12.0,11.0,9.0,9.0,8.0,8.0,7.0,6.0,7.0,9.0,9.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Sony,88,78,78.0,72.0,74.0,83.0,86.0,83.0,82.0,84.0,89.0,100.0,83.0,78.0,80.0,69.0,76.0,78.0,82.0,80.0,81.0,78.0,89.0,94.0,78.0,71.0,73.0,65.0,72.0,72.0,74.0,77.0,74.0,78.0,82.0,90.0,77.0,67.0,70.0,69.0,69.0,71.0,73.0,73.0,71.0,73.0,81.0,93.0,70.0,69.0,68.0,67.0,68.0,67.0,70.0,69.0,69.0,67.0,75.0,86.0,70.0,60.0,62.0,58.0,59.0,60.0,61.0,60.0,59.0,64.0,67.0,75.0,59.0,59.0,59.0,56.0,58.0,55.0,54.0,55.0,53.0,50.0,56.0,64.0,54.0,47.0,46.0,47.0,46.0,44.0,43.0,48.0,45.0,46.0,50.0,51.0,47.0,43.0,42.0,41.0,42.0,42.0,43.0,44.0,44.0,42.0,45.0,49.0,47.0,45.0,43.0,41.0,41.0,44.0,42.0,42.0,42.0,45.0,44.0,46.0,44.0,42.0,44.0,39.0,40.0,43.0,43.0,42.0,43.0,42.0,45.0,54.0,43.0,40.0,39.0,39.0,36.0,40.0,38.0,40.0,41.0,38.0,38.0,41.0,34.0,33.0,31.0,29.0,29.0,29.0,30.0,29.0,28.0,29.0,30.0,29.0,28.0,26.0,26.0,27.0,24.0,26.0,26.0,26.0,24.0,26.0,27.0,27.0,26.0,27.0,25.0,22.0,21.0,23.0,23.0,23.0,23.0,22.0,24.0,24.0,23.0,20.0,19.0,17.0,19.0,19.0,19.0,21.0,39.0,18.0,19.0,19.0,18.0,16.0,15.0,15.0,17.0,18.0,17.0,17.0,17.0,17.0,20.0,20.0,17.0,15.0,14.0,13.0,14.0,14.0,15.0,14.0,13.0,13.0,14.0,15.0,17.0,15.0,14.0,13.0,13.0,13.0,14.0,14.0,13.0,13.0,15.0,15.0,14.0,14.0,13.0,13.0
BMW,12,10,11.0,11.0,11.0,11.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,12.0,10.0,11.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,11.0,11.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,23.0,100.0,10.0,9.0,9.0,9.0,9.0,8.0,7.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0
Palm,100,91,90.0,84.0,80.0,80.0,78.0,80.0,78.0,70.0,72.0,75.0,76.0,72.0,72.0,61.0,63.0,62.0,65.0,65.0,60.0,58.0,59.0,64.0,66.0,59.0,58.0,57.0,53.0,51.0,50.0,52.0,48.0,48.0,48.0,46.0,50.0,45.0,48.0,46.0,43.0,43.0,44.0,43.0,40.0,40.0,38.0,40.0,42.0,41.0,40.0,37.0,39.0,35.0,38.0,38.0,32.0,31.0,33.0,31.0,40.0,35.0,37.0,38.0,35.0,43.0,36.0,34.0,32.0,31.0,32.0,33.0,34.0,31.0,35.0,30.0,30.0,28.0,31.0,30.0,27.0,26.0,26.0,26.0,28.0,29.0,28.0,29.0,25.0,25.0,25.0,26.0,23.0,22.0,22.0,23.0,26.0,26.0,26.0,26.0,23.0,25.0,23.0,24.0,21.0,21.0,20.0,21.0,24.0,25.0,27.0,24.0,22.0,22.0,24.0,23.0,20.0,20.0,20.0,22.0,23.0,25.0,25.0,27.0,22.0,22.0,23.0,23.0,20.0,20.0,20.0,21.0,23.0,23.0,27.0,24.0,23.0,23.0,23.0,22.0,20.0,20.0,19.0,21.0,24.0,25.0,27.0,23.0,23.0,23.0,23.0,22.0,22.0,25.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adobe,84,80,79.0,74.0,74.0,74.0,75.0,73.0,77.0,76.0,77.0,75.0,81.0,81.0,78.0,76.0,78.0,72.0,74.0,72.0,73.0,73.0,71.0,70.0,79.0,75.0,71.0,70.0,65.0,67.0,70.0,71.0,75.0,75.0,74.0,77.0,90.0,83.0,84.0,88.0,81.0,85.0,84.0,79.0,86.0,83.0,85.0,80.0,84.0,87.0,88.0,87.0,84.0,85.0,89.0,86.0,93.0,94.0,100.0,93.0,95.0,93.0,98.0,90.0,87.0,90.0,87.0,88.0,89.0,91.0,94.0,92.0,97.0,97.0,99.0,100.0,90.0,90.0,83.0,91.0,94.0,94.0,88.0,81.0,86.0,87.0,87.0,83.0,81.0,77.0,78.0,86.0,84.0,83.0,84.0,87.0,85.0,82.0,77.0,76.0,70.0,77.0,74.0,74.0,77.0,69.0,71.0,70.0,76.0,78.0,0.0,0.0,0.0,63.0,62.0,62.0,62.0,63.0,0.0,59.0,61.0,0.0,58.0,0.0,55.0,0.0,0.0,54.0,53.0,0.0,0.0,56.0,54.0,0.0,49.0,50.0,45.0,0.0,0.0,0.0,45.0,0.0,44.0,0.0,0.0,35.0,0.0,31.0,0.0,31.0,0.0,29.0,31.0,32.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,27.0,0.0,28.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,24.0,0.0,25.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,24.0,24.0,0.0,0.0,0.0,19.0,0.0,20.0,21.0,20.0,0.0,19.0,0.0,17.0,0.0,0.0,19.0,18.0,24.0,0.0,0.0,24.0,23.0,0.0,21.0,0.0,23.0,23.0,0.0,0.0,0.0,25.0,25.0,22.0
Nostradamus,25,24,28.0,27.0,25.0,21.0,21.0,23.0,23.0,22.0,22.0,25.0,35.0,24.0,22.0,100.0,23.0,15.0,20.0,21.0,25.0,21.0,21.0,18.0,20.0,22.0,17.0,21.0,24.0,31.0,20.0,17.0,17.0,14.0,14.0,15.0,19.0,15.0,12.0,12.0,12.0,12.0,11.0,13.0,15.0,24.0,22.0,18.0,23.0,21.0,17.0,16.0,17.0,20.0,18.0,18.0,23.0,21.0,37.0,24.0,36.0,19.0,22.0,28.0,21.0,21.0,21.0,22.0,26.0,26.0,41.0,24.0,26.0,21.0,30.0,38.0,17.0,16.0,13.0,13.0,13.0,12.0,13.0,14.0,21.0,17.0,37.0,15.0,26.0,10.0,10.0,13.0,13.0,11.0,11.0,13.0,19.0,10.0,9.0,10.0,15.0,9.0,9.0,9.0,8.0,9.0,18.0,60.0,7.0,24.0,17.0,7.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,8.0,12.0,12.0,12.0,8.0,7.0,7.0,9.0,6.0,6.0,7.0,12.0,8.0,24.0,14.0,12.0,7.0,8.0,6.0,6.0,6.0,9.0,6.0,5.0,6.0,31.0,10.0,13.0,8.0,6.0,10.0,6.0,5.0,5.0,7.0,9.0,6.0,5.0,7.0,7.0,5.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,16.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,6.0,15.0,10.0,97.0,29.0,11.0,12.0,8.0,6.0,5.0,7.0,8.0,14.0,15.0,6.0,8.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,7.0,8.0,17.0,14.0,6.0,7.0,4.0,4.0,4.0,21.0,7.0,5.0,8.0,7.0,6.0,5.0,5.0
Osama bin Laden,59,69,84.0,87.0,66.0,50.0,47.0,43.0,68.0,80.0,100.0,46.0,36.0,37.0,35.0,32.0,34.0,37.0,45.0,36.0,33.0,38.0,34.0,35.0,46.0,34.0,31.0,32.0,31.0,30.0,29.0,36.0,85.0,30.0,24.0,24.0,27.0,20.0,22.0,20.0,21.0,18.0,22.0,17.0,58.0,20.0,20.0,23.0,27.0,22.0,24.0,27.0,30.0,19.0,18.0,27.0,31.0,31.0,35.0,22.0,30.0,21.0,22.0,22.0,21.0,21.0,18.0,18.0,33.0,23.0,25.0,30.0,34.0,25.0,29.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,17.0,20.0,25.0,17.0,14.0,15.0,20.0,15.0,20.0,15.0,16.0,15.0,17.0,17.0,21.0,14.0,14.0,19.0,24.0,16.0,15.0,15.0,17.0,19.0,23.0,15.0,20.0,14.0,15.0,19.0,35.0,19.0,15.0,14.0,23.0,15.0,15.0,22.0,22.0,21.0,16.0,18.0,32.0,23.0,17.0,14.0,20.0,17.0,14.0,16.0,26.0,16.0,16.0,56.0,60.0,13.0,13.0,13.0,15.0,18.0,20.0,18.0,20.0,16.0,19.0,25.0,22.0,20.0,17.0,17.0,18.0,17.0,20.0,20.0
Eminem,40,38,43.0,44.0,37.0,32.0,29.0,26.0,33.0,73.0,100.0,69.0,60.0,57.0,47.0,43.0,42.0,40.0,41.0,39.0,29.0,30.0,35.0,62.0,45.0,38.0,33.0,33.0,27.0,24.0,21.0,19.0,20.0,25.0,29.0,33.0,25.0,22.0,20.0,19.0,17.0,18.0,17.0,16.0,16.0,15.0,16.0,17.0,19.0,17.0,15.0,16.0,16.0,15.0,15.0,16.0,16.0,20.0,19.0,20.0,22.0,23.0,21.0,37.0,61.0,55.0,33.0,41.0,31.0,27.0,27.0,32.0,27.0,25.0,22.0,26.0,43.0,86.0,85.0,87.0,80.0,67.0,61.0,58.0,46.0,54.0,46.0,41.0,38.0,43.0,43.0,43.0,41.0,38.0,33.0,33.0,28.0,28.0,26.0,25.0,24.0,26.0,24.0,24.0,24.0,24.0,23.0,25.0,24.0,25.0,22.0,21.0,26.0,24.0,25.0,37.0,37.0,45.0,65.0,50.0,37.0,34.0,31.0,30.0,29.0,26.0,26.0,28.0,24.0,23.0,28.0,28.0,23.0,22.0,21.0,19.0,19.0,20.0,22.0,21.0,18.0,20.0,18.0,18.0,18.0,18.0,17.0,15.0,15.0,15.0,14.0,22.0,16.0,17.0,15.0,15.0,15.0,17.0,15.0,15.0,14.0,15.0,16.0,15.0,13.0,29.0,23.0,32.0,21.0,18.0,14.0,13.0,15.0,13.0,15.0,15.0,78.0,24.0,15.0,15.0,13.0,15.0,13.0,11.0,11.0,13.0,11.0,11.0,11.0,11.0,10.0,18.0,23.0,25.0,15.0,12.0,12.0,11.0,12.0,11.0,10.0,10.0,9.0,14.0,11.0,10.0,13.0,11.0,11.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,12.0,28.0,11.0,10.0,10.0,11.0,11.0,14.0,11.0,13.0,13.0,13.0,12.0,12.0,11.0,12.0
Michael Jackson,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,29.0,23.0,20.0,20.0,25.0,31.0,23.0,19.0,19.0,18.0,16.0,21.0,17.0,17.0,19.0,23.0,21.0,19.0,15.0,17.0,13.0,12.0,12.0,17.0,14.0,13.0,12.0,12.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,16.0,13.0,13.0,11.0,12.0,11.0,11.0,11.0,10.0,11.0,14.0,21.0,17.0,14.0,14.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,12.0,10.0,12.0,10.0,13.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,10.0,13.0,10.0,10.0,10.0,10.0,10.0,11.0,27.0,11.0,9.0,11.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,11.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0
Howard Stern,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,58.0,61.0,69.0,75.0,94.0,73.0,74.0,100.0,59.0,54.0,48.0,60.0,55.0,41.0,46.0,48.0,58.0,46.0,52.0,42.0,48.0,81.0,65.0,65.0,53.0,47.0,43.0,40.0,35.0,43.0,46.0,42.0,42.0,46.0,52.0,56.0,45.0,40.0,38.0,40.0,37.0,54.0,56.0,32.0,36.0,38.0,53.0,60.0,55.0,54.0,37.0,33.0,39.0,41.0,38.0,38.0,42.0,41.0,43.0,49.0,45.0,49.0,38.0,40.0,53.0,41.0,35.0,34.0,29.0,34.0,37.0,34.0,31.0,34.0,50.0,31.0,32.0,29.0,38.0,32.0,28.0,36.0,30.0,30.0,28.0,27.0,35.0,30.0,23.0,28.0,26.0,27.0,25.0,27.0,29.0,22.0,27.0,27.0,24.0,17.0,20.0,26.0,21.0,29.0,22.0,54.0,29.0,25.0,20.0,21.0,43.0,23.0,33.0,25.0,26.0,26.0,31.0,27.0,26.0,18.0,18.0,17.0,20.0,21.0,26.0,16.0,18.0,15.0,14.0,14.0,15.0,13.0,17.0,22.0,15.0,16.0,16.0,19.0,17.0,17.0,16.0,16.0,16.0,12.0,14.0,15.0,17.0,20.0,12.0,13.0,13.0,11.0,13.0
